Date,Open^GSPC,High^GSPC,Low^GSPC,Close^GSPC,AClose^GSPC,Volume^GSPC,Open^DJI,High^DJI,Low^DJI,Close^DJI,AClose^DJI,Volume^DJI
1999-12-31,1464.47,1472.42,1458.19,1469.25,1469.25,374050000,11453.48,11542.41,11442.82,11497.12,11497.12,43620000
2000-01-03,1469.25,1478.0,1438.36,1455.22,1455.22,931800000,11501.85,11522.01,11305.69,11357.51,11357.51,169750000
2000-01-04,1455.22,1455.22,1397.43,1399.42,1399.42,1009000000,11349.75,11350.06,10986.45,10997.93,10997.93,178420000
2000-01-05,1399.42,1413.27,1377.68,1402.11,1402.11,1085500000,10989.37,11215.1,10938.67,11122.65,11122.65,203190000
2000-01-06,1402.11,1411.9,1392.1,1403.45,1403.45,1092300000,11113.37,11313.45,11098.45,11253.26,11253.26,176550000
2000-01-07,1403.45,1441.47,1400.73,1441.47,1441.47,1225200000,11247.06,11528.14,11239.92,11522.56,11522.56,184900000
2000-01-10,1441.47,1464.36,1441.47,1457.6,1457.6,1064800000,11532.48,11638.28,11532.48,11572.2,11572.2,168180000
2000-01-11,1457.6,1458.66,1434.42,1438.56,1438.56,1014000000,11568.47,11663.1,11502.7,11511.08,11511.08,177300000
2000-01-12,1438.56,1442.6,1427.08,1432.25,1432.25,974600000,11506.73,11612.53,11505.18,11551.1,11551.1,194060000
2000-01-13,1432.25,1454.2,1432.25,1449.68,1449.68,1030400000,11558.24,11656.58,11524.11,11582.43,11582.43,174910000
2000-01-14,1449.68,1473.0,1449.68,1465.15,1465.15,1085900000,11619.35,11750.28,11612.53,11722.98,11722.98,266830000
2000-01-18,1465.15,1465.15,1451.3,1455.14,1455.14,1056700000,11719.19,11720.12,11546.45,11560.72,11560.72,200220000
2000-01-19,1455.14,1461.39,1448.68,1455.9,1455.9,1087800000,11535.24,11574.68,11456.01,11489.36,11489.36,193090000
2000-01-20,1455.9,1465.71,1438.54,1445.57,1445.57,1100700000,11490.29,11558.7,11274.98,11351.3,11351.3,191230000
2000-01-21,1445.57,1453.18,1439.6,1441.36,1441.36,1209800000,11356.26,11387.6,11232.48,11251.71,11251.71,205840000
2000-01-24,1441.36,1454.09,1395.42,1401.53,1401.53,1115800000,11251.94,11366.5,10917.27,11008.17,11008.17,202740000
2000-01-25,1401.53,1414.26,1388.49,1410.03,1410.03,1073700000,11010.96,11079.52,10883.45,11029.89,11029.89,209230000
2000-01-26,1410.03,1412.73,1400.16,1404.09,1404.09,1117300000,11025.85,11131.03,11002.58,11032.99,11032.99,188840000
2000-01-27,1404.09,1418.86,1370.99,1398.56,1398.56,1129500000,11035.55,11164.14,10915.4,11028.02,11028.02,194280000
2000-01-28,1398.56,1398.56,1356.2,1360.16,1360.16,1095800000,11024.92,11024.92,10735.77,10738.87,10738.87,183090000
2000-01-31,1360.16,1394.48,1350.14,1394.46,1394.46,993800000,10735.77,10956.67,10701.64,10940.53,10940.53,191880000
2000-02-01,1394.46,1412.49,1384.79,1409.28,1409.28,981000000,10937.74,11073.32,10907.96,11041.05,11041.05,183110000
2000-02-02,1409.28,1420.61,1403.49,1409.12,1409.12,1038600000,11037.64,11118.93,10987.07,11003.2,11003.2,164170000
2000-02-03,1409.12,1425.78,1398.52,1424.97,1424.97,1146500000,11010.48,11079.52,10842.26,11013.44,11013.44,178630000
2000-02-04,1424.97,1435.91,1420.63,1424.37,1424.37,1045100000,11014.37,11089.45,10943.02,10963.8,10963.8,166590000
2000-02-07,1424.37,1427.15,1413.33,1424.24,1424.24,918100000,10965.97,10970.94,10846.22,10905.79,10905.79,145660000
2000-02-08,1424.24,1441.83,1424.24,1441.72,1441.72,1047700000,10904.26,11023.06,10904.26,10957.6,10957.6,168890000
2000-02-09,1441.72,1444.55,1411.65,1411.71,1411.71,1050500000,10948.82,10948.82,10698.85,10699.16,10699.16,168550000
2000-02-10,1411.7,1422.1,1406.43,1416.83,1416.83,1058800000,10697.92,10738.25,10606.4,10643.63,10643.63,156390000
2000-02-11,1416.83,1416.83,1378.89,1387.12,1387.12,1025700000,10638.64,10638.64,10356.96,10425.21,10425.21,193540000
2000-02-14,1387.12,1394.93,1380.53,1389.94,1389.94,927300000,10431.65,10549.0,10430.8,10519.84,10519.84,167240000
2000-02-15,1389.94,1407.72,1376.25,1402.05,1402.05,1092100000,10520.15,10763.07,10494.48,10718.09,10718.09,183320000
2000-02-16,1402.05,1404.55,1385.58,1387.67,1387.67,1018800000,10711.82,10741.67,10561.41,10561.41,10561.41,163280000
2000-02-17,1387.67,1399.88,1380.07,1388.26,1388.26,1034800000,10565.76,10671.86,10454.61,10514.57,10514.57,195830000
2000-02-18,1388.26,1388.59,1345.32,1346.09,1346.09,1042300000,10514.57,10517.75,10199.98,10219.52,10219.52,208930000
2000-02-22,1346.09,1358.11,1331.88,1352.17,1352.17,980000000,10219.83,10336.79,10103.8,10304.84,10304.84,194340000
2000-02-23,1352.17,1370.11,1342.44,1360.69,1360.69,993700000,10294.82,10338.35,10164.92,10225.73,10225.73,185280000
2000-02-24,1360.69,1364.8,1329.88,1353.43,1353.43,1215000000,10242.48,10248.06,9942.78,10092.63,10092.63,237540000
2000-02-25,1353.43,1362.14,1329.15,1333.36,1333.36,1065200000,10090.77,10132.42,9836.06,9862.12,9862.12,195240000
2000-02-28,1333.36,1360.82,1325.07,1348.05,1348.05,1026500000,9854.66,10156.54,9842.57,10038.65,10038.65,213230000
2000-02-29,1348.05,1369.63,1348.05,1366.42,1366.42,1204300000,10039.58,10204.94,10029.96,10128.31,10128.31,191360000
2000-03-01,1366.42,1383.46,1366.42,1379.19,1379.19,1274100000,10128.11,10186.33,10084.56,10137.93,10137.93,216780000
2000-03-02,1379.19,1386.56,1370.35,1381.76,1381.76,1198600000,10135.44,10212.39,10103.49,10164.92,10164.92,206510000
2000-03-03,1381.76,1410.88,1381.76,1409.17,1409.17,1150300000,10171.12,10443.52,10171.12,10367.2,10367.2,210460000
2000-03-06,1409.17,1409.74,1384.75,1391.28,1391.28,1029000000,10358.96,10383.95,10121.48,10170.5,10170.5,172590000
2000-03-07,1391.28,1399.21,1349.99,1355.62,1355.62,1314100000,10197.61,10229.14,9752.68,9796.03,9796.03,278180000
2000-03-08,1355.62,1373.79,1346.62,1366.7,1366.7,1203000000,9800.69,9918.89,9731.81,9856.53,9856.53,223310000
2000-03-09,1366.7,1401.82,1357.88,1401.69,1401.69,1123000000,9855.29,10010.73,9738.95,10010.73,10010.73,187360000
2000-03-10,1401.69,1413.46,1392.07,1395.07,1395.07,1138800000,10008.55,10091.39,9907.26,9928.82,9928.82,197440000
2000-03-13,1395.07,1398.39,1364.84,1383.62,1383.62,1016100000,9911.22,9998.55,9735.54,9947.13,9947.13,186210000
2000-03-14,1383.62,1395.15,1359.15,1359.15,1359.15,1094000000,9957.67,10043.3,9811.24,9811.24,9811.24,186080000
2000-03-15,1359.15,1397.99,1356.99,1392.14,1392.14,1302800000,9808.15,10180.2,9776.49,10131.41,10131.41,204920000
2000-03-16,1392.15,1458.47,1392.15,1458.47,1458.47,1482300000,10139.58,10632.46,10138.34,10630.6,10630.6,253790000
2000-03-17,1458.47,1477.33,1453.32,1464.47,1464.47,1295100000,10629.98,10763.38,10567.31,10595.23,10595.23,247830000
2000-03-20,1464.47,1470.3,1448.49,1456.63,1456.63,920800000,10594.75,10727.71,10586.99,10680.24,10680.24,177730000
2000-03-21,1456.63,1493.92,1446.06,1493.87,1493.87,1065900000,10680.24,10907.34,10603.61,10907.34,10907.34,211950000
2000-03-22,1493.87,1505.08,1487.33,1500.64,1500.64,1075000000,10916.96,10917.27,10789.13,10866.7,10866.7,195830000
2000-03-23,1500.64,1532.5,1492.39,1527.35,1527.35,1078300000,10884.38,11136.61,10831.02,11119.86,11119.86,224710000
2000-03-24,1527.35,1552.87,1516.83,1527.46,1527.46,1052200000,11107.45,11234.65,11045.09,11112.72,11112.72,217140000
2000-03-27,1527.46,1534.63,1518.46,1523.86,1523.86,901000000,11093.25,11170.82,10982.73,11025.85,11025.85,184880000
2000-03-28,1523.86,1527.36,1507.09,1507.73,1507.73,959100000,11023.68,11094.34,10932.78,10936.11,10936.11,177780000
2000-03-29,1507.73,1521.45,1497.45,1508.52,1508.52,1061900000,10939.05,11101.55,10910.75,11018.72,11018.72,199370000
2000-03-30,1508.52,1517.38,1474.63,1487.92,1487.92,1193400000,11008.17,11144.06,10916.34,10980.25,10980.25,214190000
2000-03-31,1487.92,1519.81,1484.38,1498.58,1498.58,1227400000,10993.28,11107.76,10921.92,10921.92,10921.92,179590000
2000-04-03,1498.58,1507.19,1486.96,1505.97,1505.97,1021700000,10863.28,11223.79,10862.97,11221.93,11221.93,279950000
2000-04-04,1505.98,1526.45,1416.41,1494.73,1494.73,1515460000,11225.34,11418.24,10717.78,11164.84,11164.84,319280000
2000-04-05,1494.73,1506.55,1478.05,1487.37,1487.37,1110300000,11163.29,11218.21,11002.58,11033.92,11033.92,189310000
2000-04-06,1487.37,1511.76,1487.37,1501.34,1501.34,1008000000,11029.56,11201.14,11029.56,11114.27,11114.27,161820000
2000-04-07,1501.34,1518.68,1501.34,1516.35,1516.35,891600000,11122.03,11192.45,11062.77,11111.48,11111.48,156500000
2000-04-10,1516.35,1527.19,1503.35,1504.46,1504.46,853700000,11114.89,11287.7,11097.21,11186.56,11186.56,150070000
2000-04-11,1504.46,1512.8,1486.78,1500.59,1500.59,971400000,11180.98,11361.15,11102.48,11287.08,11287.08,171130000
2000-04-12,1500.59,1509.08,1466.15,1467.17,1467.17,1175900000,11283.05,11425.45,11116.75,11125.13,11125.13,234780000
2000-04-13,1467.17,1477.52,1439.34,1440.51,1440.51,1032000000,11132.58,11144.06,10920.76,10923.55,10923.55,200240000
2000-04-14,1440.51,1440.51,1339.4,1356.56,1356.56,1279700000,10922.85,10922.85,10201.53,10305.77,10305.77,267580000
2000-04-17,1356.56,1401.53,1346.5,1401.44,1401.44,1204700000,10303.29,10583.75,10232.55,10582.51,10582.51,247520000
2000-04-18,1401.44,1441.61,1397.81,1441.61,1441.61,1109400000,10584.02,10773.93,10571.34,10767.42,10767.42,218380000
2000-04-19,1441.61,1447.69,1424.26,1427.47,1427.47,1001400000,10748.97,10789.44,10632.15,10674.96,10674.96,193860000
2000-04-20,1427.47,1435.49,1422.08,1434.54,1434.54,896200000,10668.19,10845.29,10665.09,10844.05,10844.05,158390000
2000-04-24,1434.54,1434.54,1407.13,1429.86,1429.86,868700000,10822.33,10910.75,10695.44,10906.1,10906.1,295330000
2000-04-25,1429.86,1477.67,1429.86,1477.44,1477.44,1071100000,10916.65,11136.61,10881.04,11124.82,11124.82,240200000
2000-04-26,1477.44,1482.94,1456.98,1460.99,1460.99,999600000,11127.92,11141.88,10902.06,10945.5,10945.5,198970000
2000-04-27,1460.99,1469.21,1434.81,1464.92,1464.92,1111000000,10941.91,10941.91,10747.25,10888.1,10888.1,192920000
2000-04-28,1464.92,1473.62,1448.15,1452.43,1452.43,984600000,10892.76,10959.23,10715.3,10733.91,10733.91,173520000
2000-05-01,1452.43,1481.51,1452.43,1468.25,1468.25,966300000,10749.42,10926.26,10724.22,10811.78,10811.78,174020000
2000-05-02,1468.25,1468.25,1445.22,1446.29,1446.29,1011500000,10805.58,10824.5,10710.02,10731.12,10731.12,208610000
2000-05-03,1446.29,1446.29,1398.36,1415.1,1415.1,991600000,10732.21,10732.21,10400.09,10480.13,10480.13,200220000
2000-05-04,1415.1,1420.99,1404.94,1409.57,1409.57,925800000,10478.89,10523.1,10407.53,10412.49,10412.49,169170000
2000-05-05,1409.57,1436.03,1405.08,1432.63,1432.63,805500000,10409.7,10585.92,10375.81,10577.86,10577.86,138300000
2000-05-08,1432.63,1432.63,1417.05,1424.17,1424.17,787600000,10571.31,10627.85,10522.07,10603.63,10603.63,144180000
